featureName,mutualInformationValue
trinucleotideGCG,0.0013880947745144034
trinucleotideCGC,0.00135689019185814
trinucleotideTCG,0.0011975661046560448
trinucleotideACG,0.001098485009247363
trinucleotideCCG,0.001086512706800602
trinucleotideCGA,0.0010473491235085675
trinucleotideCGT,0.0009804500142381878
trinucleotideTTA,0.0008472467650886273
trinucleotideAGT,0.0008375860519947986
trinucleotideCGG,0.0008091302542905243
trinucleotideATC,0.0007748116736263633
trinucleotideTTC,0.0007293592936840065
cytosineRatio,0.000703076033949035
dinucleotideAA,0.0006992964829447557
trinucleotideTAG,0.0006976564672144248
guanineRatio,0.0006724152913868409
trinucleotideCCC,0.0006470042493128547
trinucleotideAAG,0.0006290251402039093
dinucleotideCG,0.0006286316068019326
trinucleotideCTT,0.0006250682768845772
trinucleotideTGG,0.0006187373143788921
trinucleotideTAA,0.0006161706417404655
trinucleotideGGG,0.0006076434931550079
lowComplexityRegionRatio,0.0006010023245285323
dinucleotideTG,0.0005995365151427734
dinucleotideAG,0.0005986948746437015
trinucleotideGCC,0.0005899018171968695
dinucleotideTA,0.0005835130822283707
trinucleotideGAT,0.0005745430683381514
trinucleotideCTA,0.0005713367472458541
trinucleotideTGC,0.0005629741509446395
trinucleotideGCA,0.0005624883817024751
dinucleotideGC,0.0005605552106737743
dinucleotideTT,0.0005604007792302523
trinucleotideACC,0.0005603641109919177
trinucleotideCAT,0.000558098426092779
dinucleotideTC,0.0005480691943355875
trinucleotideTAT,0.0005425724121120856
trinucleotideTTT,0.0005359860893391355
trinucleotideATG,0.0005324010167246929
trinucleotideTCA,0.000526938789703224
trinucleotideTTG,0.0005264992582001415
trinucleotideACT,0.0005252681650453894
dinucleotideGT,0.00052434689255898
trinucleotideAGC,0.0005215298329284135
trinucleotideCTG,0.0005190222320493598
trinucleotideATA,0.0005178265484861999
dinucleotideCC,0.0005166696448647423
trinucleotideTAC,0.0005133558631784663
trinucleotideTCT,0.0005110308461684365
trinucleotideAAA,0.0005086350962558717
guanineCytosineContent,0.0005066293641329267
trinucleotideGGC,0.0004946298473886834
trinucleotideCCA,0.00048436233465198875
trinucleotideGTC,0.00048127608243608844
trinucleotideGGT,0.0004810982178350409
trinucleotideTCC,0.0004810733900244557
trinucleotideAAC,0.0004791564212149879
dinucleotideCT,0.000469240502340762
trinucleotideAGG,0.00046121970037715787
trinucleotideGTA,0.000458187654636788
trinucleotideATT,0.0004548951506108123
trinucleotideACA,0.00044755898226167545
dinucleotideGG,0.0004433635259560864
trinucleotideCAC,0.00044103943923790023
trinucleotideAAT,0.0004399699388651923
trinucleotideGTT,0.0004265351754214608
trinucleotideTGT,0.0004239320581684858
thymineRatio,0.0004204577322760583
trinucleotideGAC,0.00041917999258400673
trinucleotideCAG,0.00041627970585944585
dinucleotideGA,0.0004148770294536419
adenineRatio,0.00041070735506043565
trinucleotideCAA,0.0004024362845101992
trinucleotideGCT,0.00040103937101498843
dinucleotideAT,0.0004005724304648739
trinucleotideGGA,0.000396455021130393
dinucleotideAC,0.000367653205384455
trinucleotideAGA,0.0003581875581909477
trinucleotideGAA,0.0003424398555336161
trinucleotideGTG,0.00034218768347005213
trinucleotideTGA,0.0003342237539909476
trinucleotideGAG,0.00032974090319404237
dinucleotideCA,0.00032341116668077596
trinucleotideCCT,0.0002744019215307203
trinucleotideCTC,0.00027171238661871655
