样本类型,GC含量,低复杂度区域占比
正样本,0.346,0.043
正样本,0.5313,0.0
正样本,0.4752,0.0278
正样本,0.4976,0.012
正样本,0.3823,0.0279
正样本,0.4875,0.0208
正样本,0.5171,0.0621
正样本,0.392,0.0307
正样本,0.4164,0.0661
正样本,0.4747,0.0241
正样本,0.482,0.0607
正样本,0.3954,0.0343
正样本,0.4821,0.0406
正样本,0.4082,0.0297
正样本,0.4568,0.0188
正样本,0.4709,0.0502
正样本,0.4,0.027
正样本,0.4734,0.0206
正样本,0.4138,0.0584
正样本,0.4738,0.0145
正样本,0.4381,0.0263
正样本,0.4132,0.0266
正样本,0.5003,0.0377
正样本,0.5714,0.0467
正样本,0.5113,0.0476
正样本,0.3596,0.032
正样本,0.4447,0.0328
正样本,0.4383,0.0
正样本,0.4719,0.0251
正样本,0.5629,0.0071
正样本,0.5739,0.0263
正样本,0.4304,0.0357
正样本,0.5068,0.0208
正样本,0.4479,0.0142
正样本,0.5773,0.0326
正样本,0.5,0.0219
正样本,0.3648,0.0531
正样本,0.3822,0.0441
正样本,0.5459,0.0262
正样本,0.4034,0.055
正样本,0.4126,0.0287
正样本,0.4803,0.0048
正样本,0.4418,0.0303
正样本,0.5977,0.0366
正样本,0.4686,0.0248
正样本,0.4928,0.0
正样本,0.6307,0.0299
正样本,0.6348,0.0367
正样本,0.4669,0.0331
正样本,0.4273,0.0396
负样本,0.481,0.0299
负样本,0.4632,0.018
负样本,0.4338,0.0383
负样本,0.4625,0.0256
负样本,0.4624,0.025
负样本,0.4686,0.0277
负样本,0.4304,0.039
负样本,0.4636,0.0273
负样本,0.4574,0.0237
负样本,0.4568,0.0231
负样本,0.4337,0.0383
负样本,0.4614,0.0246
负样本,0.4679,0.0244
负样本,0.4652,0.0267
负样本,0.4798,0.0327
负样本,0.4778,0.0343
负样本,0.4655,0.0287
负样本,0.4585,0.0244
负样本,0.4576,0.024
负样本,0.4521,0.032
负样本,0.4583,0.0245
负样本,0.4872,0.0297
负样本,0.4331,0.0384
负样本,0.4311,0.038
负样本,0.4333,0.0384
负样本,0.4312,0.0387
负样本,0.4673,0.0265
负样本,0.4112,0.0427
负样本,0.4595,0.0248
负样本,0.4083,0.0611
负样本,0.4876,0.0304
负样本,0.4633,0.0262
负样本,0.4715,0.0305
负样本,0.4715,0.0211
负样本,0.484,0.0228
负样本,0.4841,0.0228
负样本,0.4051,0.0623
负样本,0.4339,0.0388
负样本,0.4602,0.0254
负样本,0.4687,0.0137
负样本,0.4121,0.0426
负样本,0.4563,0.034
负样本,0.4303,0.0383
负样本,0.46,0.025
负样本,0.4119,0.0427
负样本,0.4652,0.0199
负样本,0.4622,0.0252
负样本,0.4684,0.0243
负样本,0.4944,0.0293
负样本,0.3858,0.064
