featureName,shapValueMean
trinucleotideCTT,0.00024493433539851103
trinucleotideTTA,0.0002378463329224395
trinucleotideTAG,0.00020425660348221254
trinucleotideATC,0.00016140052825600764
dinucleotideTA,0.00013807952712608873
trinucleotideTGG,0.00013330868766474885
trinucleotideAGT,0.00011855563743130134
dinucleotideAG,0.00011708451807643643
guanineRatio,0.00011548162843598146
trinucleotideTTC,0.00010370158983418571
dinucleotideTG,9.811581092400204e-05
lowComplexityRegionRatio,9.737959065206016e-05
trinucleotideCCC,9.207804423994673e-05
trinucleotideCTA,8.27900444387042e-05
dinucleotideCG,7.148446539666517e-05
trinucleotideACG,6.852932510074223e-05
trinucleotideAAG,6.028904795741127e-05
trinucleotideGAT,5.9907058685755055e-05
dinucleotideAA,5.638113052191768e-05
cytosineRatio,5.246777666708139e-05
trinucleotideTCG,5.172373430924045e-05
trinucleotideGCG,5.1054939232906364e-05
trinucleotideGGG,5.0701083866331477e-05
trinucleotideCGA,4.9088085680345334e-05
trinucleotideCCG,4.4079588708235524e-05
trinucleotideGCC,4.1694290319367055e-05
trinucleotideTAA,3.7714655090250415e-05
trinucleotideCGG,3.69823227007622e-05
trinucleotideCGT,2.833988091501901e-05
trinucleotideCGC,2.69033653828381e-05
